Source MAC,Destination MAC,Protocol,Source IP,Destination IP,Source Port,Destination Port,TCP Flags,Timestamp,Packet Length
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599380.8773832,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599380.8782375,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599380.8794277,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599380.881453,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599380.882306,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,A,1731599380.8830569,60
08:00:27:32:1e:62,52:54:00:12:35:02,UDP,10.0.2.15,192.168.137.1,52330,53,N/A,1731599381.068994,92
08:00:27:32:1e:62,52:54:00:12:35:02,UDP,10.0.2.15,192.168.137.1,52330,53,N/A,1731599381.0707934,92
52:54:00:12:35:02,08:00:27:32:1e:62,UDP,192.168.137.1,10.0.2.15,53,52330,N/A,1731599381.0738683,332
52:54:00:12:35:02,08:00:27:32:1e:62,UDP,192.168.137.1,10.0.2.15,53,52330,N/A,1731599381.0758824,271
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,52.182.143.211,57570,443,S,1731599381.0763125,74
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,SA,1731599381.3448937,60
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,52.182.143.211,57570,443,A,1731599381.349562,54
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,52.182.143.211,57570,443,PA,1731599381.3513508,571
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,A,1731599381.3533084,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,PA,1731599381.6229622,153
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,52.182.143.211,57570,443,A,1731599381.6252434,54
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,52.182.143.211,57570,443,PA,1731599381.6425655,491
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,52.182.143.211,10.0.2.15,443,57570,A,1731599381.6443107,60
52:54:00:12:35:02,08:00:27:32:1e:62,TCP,13.69.239.78,10.0.2.15,443,59770,PA,1731599381.7562811,89
08:00:27:32:1e:62,52:54:00:12:35:02,TCP,10.0.2.15,13.69.239.78,59770,443,A,1731599381.759208,54
