2025-02-09 16:41:52,151 - Alert: Anomaly detected at row 3432 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5138842899129277, 'packet_size': 10.318519658438474, 'inter_arrival_time': -0.0947095618627876, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,151 - Alert: Anomaly detected at row 3433 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5138305666875567, 'packet_size': 3.1128133281192807, 'inter_arrival_time': -0.0953642434821692, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,152 - Alert: Anomaly detected at row 3438 - {'src_port': -0.7572333350916952, 'dst_port': 0.36425910006812506, 'timestamp': -0.5135817542135575, 'packet_size': -0.018482728892896497, 'inter_arrival_time': 1.4423734666669734, 'packet_rate': -1.23576381246648, 'protocol_TCP': -1.0796037848261733, 'protocol_UDP': 1.0796037848261735, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,152 - Alert: Anomaly detected at row 3450 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5118208837226924, 'packet_size': 2.083426709502253, 'inter_arrival_time': -0.09502677176708907, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,152 - Alert: Anomaly detected at row 3463 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5101402102698932, 'packet_size': 1.397168963757568, 'inter_arrival_time': -0.08573605613138091, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,152 - Alert: Anomaly detected at row 3471 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.508921277339291, 'packet_size': 8.946004166949104, 'inter_arrival_time': -0.08767668734151478, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,152 - Alert: Anomaly detected at row 3475 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5085286944820926, 'packet_size': 8.946004166949104, 'inter_arrival_time': -0.0924134484391037, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,152 - Alert: Anomaly detected at row 3487 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5077221997682102, 'packet_size': 3.1128133281192807, 'inter_arrival_time': -0.09382862335637765, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,152 - Alert: Anomaly detected at row 3497 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5068283466431012, 'packet_size': 1.7402978366299104, 'inter_arrival_time': -0.09196070953381609, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,152 - Alert: Anomaly detected at row 3509 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5061314183532429, 'packet_size': 2.083426709502253, 'inter_arrival_time': -0.09478858292482438, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,152 - Alert: Anomaly detected at row 3511 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5060325293556279, 'packet_size': 2.083426709502253, 'inter_arrival_time': -0.09497093922183232, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,152 - Alert: Anomaly detected at row 3513 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5059228595182729, 'packet_size': 2.4265555823745957, 'inter_arrival_time': -0.09487705949855786, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,153 - Alert: Anomaly detected at row 3515 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5058297616671849, 'packet_size': 2.083426709502253, 'inter_arrival_time': -0.09502136861754809, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,153 - Alert: Anomaly detected at row 3517 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5057469017358499, 'packet_size': 2.4265555823745957, 'inter_arrival_time': -0.0951105205849742, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,153 - Alert: Anomaly detected at row 3519 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5056420923250443, 'packet_size': 2.4265555823745957, 'inter_arrival_time': -0.09491938416996216, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,153 - Alert: Anomaly detected at row 3523 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5054785182889894, 'packet_size': 2.4265555823745957, 'inter_arrival_time': -0.09511930070297828, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,153 - Alert: Anomaly detected at row 3525 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5054006480508675, 'packet_size': 2.4265555823745957, 'inter_arrival_time': -0.09515397091253287, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,153 - Alert: Anomaly detected at row 3529 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5046732128284116, 'packet_size': 15.46545275152361, 'inter_arrival_time': -0.0901578586369771, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,153 - Alert: Anomaly detected at row 3531 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5044554502069969, 'packet_size': 4.828457692480993, 'inter_arrival_time': -0.09393578582227367, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,153 - Alert: Anomaly detected at row 3533 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5042483650119912, 'packet_size': 3.1128133281192807, 'inter_arrival_time': -0.09402876502062463, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,153 - Alert: Anomaly detected at row 3534 - {'src_port': -0.7736864433059613, 'dst_port': 0.284510853510566, 'timestamp': -0.5041614978140863, 'packet_size': 15.46545275152361, 'inter_arrival_time': -0.09507562524418872, 'packet_rate': -1.2272937972107807, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
2025-02-09 16:41:52,153 - Alert: Anomaly detected at row 3574 - {'src_port': -0.7736864433059613, 'dst_port': 0.761922653848386, 'timestamp': -0.47732811696791405, 'packet_size': -0.31847540060414453, 'inter_arrival_time': 4.496574886172589, 'packet_rate': -1.2171297789039415, 'protocol_TCP': 0.9262657412422923, 'protocol_UDP': -0.9262657412422924, 'anomaly': 'Anomaly'}
